Year,Rank,Company,Leadership,Country,Defense_Revenue_From_A_Year_Ago,Defense_Revenue_From_Two_Years_Ago,%Defense Revenue Change,Total Revenue,%of Revenue from Defence
2018,10,Leonardo,"Alessandro Profumo, CEO",Italy,"$8,856.48","$8,526.22",4%,"$13,024.24",68%
2018,11,United Technologies,"Gregory Hayes, Chairman and CEO",U.S.,"$7,826.00","$6,888.00",14%,"$60,200.00",13%
2018,12,L3 Technologies 6,"Christopher Kubasik, Chairman, CEO and President",U.S.,"$7,749.00","$7,629.00",2%,"$9,573.00",81%
2018,13,Huntington Ingalls Industries 1,"Mike Petters, President and CEO",U.S.,"$7,030.00","$6,778.21",4%,"$7,400.00",95%
2018,14,United Aircraft Corp. 7,"Yury Slyusar, President, Chairman of the Management Board",Russia,"$6,197.25","$5,636.84",10%,"$7,746.56",80%
2018,15,Leidos,"Roger Krone, Chairman and CEO",U.S.,"$5,218.00","$4,252.00",23%,"$10,170.00",51%
2018,16,Rolls-Royce,"Warren East, CEO",U.K.,"$4,625.73","$4,741.15",-2%,"$28,582.91",16%
2018,17,Booz Allen Hamilton,"Horacio Rozanski, President and CEO",U.S.,"$4,320.00","$4,000.00",8%,"$6,171.85",70%
2018,18,Naval Group 8,"Hervé Guillou, Chairman and CEO",France,"$4,178.33","$3,540.90",18%,"$4,178.33",100%
2018,19,Harris Corporation 9,"Bill Brown, Chairman, President and CEO",U.S.,"$4,158.00","$4,213.00",-1%,"$5,979.00",70%
2018,20,Textron Inc.,"Scott Donnelly, Chairman and CEO",U.S.,"$4,117.42","$4,412.16",-7%,"$14,198.00",29%
2018,21,Honeywell,"Darius Adamczyk, Chairman and CEO",U.S.,"$4,100.00","$4,375.00",-6%,"$40,534.00",10%
2018,22,GE Aviation,"David Joyce, GE Vice Chairman, President and CEO,",U.S.,"$3,991.00","$3,500.00",14%,"$27,013.00",15%
2018,23,Hanwha,"Seung Youn Kim, Chairman and CEO",South Korea,"$3,895.27","$4,214.97",-8%,"$44,507.09",9%
2018,24,Bechtel 10,"Brendan Bechtel, Chairman and CEO",U.S.,"$3,576.00","$3,020.00",18%,~,~
2018,25,"Tactical Missiles Corporation, JSC","Boris Obnosov, Director General",Russia,"$3,573.95","$2,866.24",25%,"3,624.21",99%
2018,26,GKN Aerospace 7 11,"Hans Buthker, Chief Executive",U.K.,"$3,484.12","$3,316.55",5%,"13,400.45",26%
2018,27,Rheinmetall,"Armin Papperger, CEO",Germany,"$3,430.35","$3,270.06",5%,"6,661.83",51%
2018,28,Elbit Systems Ltd.,"Bezhalel Machlis, President and CEO",Israel,"$3,377.83","$3,147.20",7%,"3,377.83",100%
2018,29,Babcock International 1,"Mike Turner, Chairman, and Archie Bethel, Chief Executive",U.K.,"$3,341.03","$2,963.71",13%,"7,108.58",47%
2018,30,Orbital ATK 12,"David W. Thompson, CEO",U.S.,"$3,300.00","$2,871.00",15%,"4,760.00",69%
2018,31,AECOM,"Michael Burke, Chairman and CEO",U.S.,"$3,197.78","$2,939.80",9%,"18,203.40",18%
2018,32,Saab,"Håkan Buskhe, President and CEO",Sweden,"$3,090.07","$2,777.27",11%,"3,678.65",84%
2018,33,KNDS 13,"Frank Haun, CEO of KMW, and Stéphane Mayer, Chairman and CEO of the Nexter Group",France,"$2,991.95","$2,903.84",3%,"2,991.95",100%
2018,34,CACI International,"Ken Asbury, President and CEO",U.S.,"$2,829.31","$2,439.33",16%,"4,354.62",65%
2018,35,SAIC 14,"Tony Moraco, CEO",U.S.,"$2,761.48","$2,581.00",7%,"4,454.00",62%
2018,36,Russian Helicopters,"Andrey Boginskiy, CEO",Russia,"$2,735.16","$2,652.01",3%,"4,250.24",64%
2018,37,Perspecta 15,"Mac Curtis, President and CEO",U.S.,"$2,731.95",~,~,"4,203.00",65%
2018,38,Hindustan Aeronautics,"Shri T. Suvarna Raju, Chairman and Managing Director",India,"$2,720.00","$2,518.60",8%,"2,830.00",96%
2018,39,Israel Aerospace Industries,"Joseph Weiss, CEO",Israel,"$2,469.00","$2,618.00",-6%,"3,520.00",70%
2018,40,St Engineering 5,"Vincent Chong, President and CEO",Singapore,"$2,300.00","$2,339.00",-2%,"6,619.00",35%
2018,41,Rockwell Collins 16,"Kelly Ortberg, Chairman, President and CEO",U.S.,"$2,280.00","$2,210.00",3%,"6,820.00",33%
2018,42,Rafael Advanced Defense Systems,"Yoav Har-Even, President and CEO",Israel,"$2,300.06","$2,354.56",-2%,"2,300.06",100%
2018,43,Mitsubishi Heavy Industries Ltd. 17 18,"Shunichi Miyanaga, President and CEO",Japan,"$2,217.38","$4,033.48",-45%,~,~
2018,44,Dassault 19,"Eric Trappier, CEO*",France,"$2,124.19","$1,356.00",57%,"5,434.77",39%
2018,45,Aerojet Rocketdyne,"Warren Lichtenstein, Executive Chairman, and Eileen Drake, CEO and President",U.S.,"$1,870.80","$1,761.30",6%,"1,870.80",100%
2018,46,Uralvagonzavod 7,"Alexander PotaPov, CEO",Russia,"$1,865.00","$1,584.29",18%,"2,626.77",71%
2018,47,Oshkosh Defense,"John Bryant, Executive Vice President, Oshkosh Corporation, and President, Oshkosh Defense",U.S.,"$1,820.10","$1,351.10",35%,"6,830.00",27%
2018,48,"Concern Radio-Electronic Technologies, JSC 7","Nikolay Kolesov, CEO",Russia,"$1,677.48","$1,365.52",23%,"1,973.50",85%
2018,49,Cobham 1,"Michael Wareing, Chairman",U.K.,"$1,584.86","$1,490.50",6%,"2,641.44",60%
2018,50,Kawasaki Heavy Industries 17 18,"Shigeru Murayama, Chairman",Japan,"$1,566.15",$884.66,77%,~,~
2018,51,LIG Nex1,"Kim Jichan, CEO",South Korea,"$1,555.24","$1,618.10",-4%,"1,555.24",100%
2018,52,KBR,"Stuart Bradie, President and CEO",U.S.,"$1,546.67","$1,532.64",1%,"4,171.00",37%
2018,53,Safran,"Philippe Petitcolin, CEO",France,"$1,519.70","$1,374.18",11%,"18,666.91",8%
2018,54,DynCorp International,"George Krivo, CEO",U.S.,"$1,501.09","$1,277.64",17%,"2,004.44",75%
2018,55,Aselsan,"Haluk Görgün, Chairman, President and CEO",Turkey,"$1,424.93","$1,195.28",19%,"1,470.91",97%
2018,56,Fincantieri,"Giuseppe Bono, CEO",Italy,"$1,369.23","$1,306.51",5%,"5,672.14",24%
2018,57,Accenture,"Pierre Nanterme, Chairman and CEO",U.S.,"$1,343.00","$1,315.00",2%,"34,900.00",4%
2018,58,ManTech International,"George Pedersen, Executive Chairman and Chairman of the Board, and Kevin Phillips, President and CEO",U.S.,"$1,300.00","$1,454.25",-11%,"1,720.00",76%
2018,59,Bharat Electronics Ltd,"M V Gowtama, Chairman and Managing Director",India,"$1,270.00","$1,164.90",9%,"1,500.00",85%
2018,60,Serco 1,"Dave Dacquino, Chairman and CEO",U.K.,"$1,236.84","$1,305.14",-5%,"4,264.95",29%
2018,61,Fluor,"David Seaton, Chairman and CEO",U.S.,"$1,217.06",$986.67,23%,"19,521.00",6%
2018,62,PAE,"John Heller, CEO",U.S.,"$1,127.35","$1,145.14",-2%,"2,331.59",48%
2018,63,Vectrus,"Chuck Prow, President and CEO",U.S.,"$1,114.79","$1,190.52",-6%,"1,114.79",100%
2018,64,Turkish Aerospace Industries,"Temel Kotil, President and CEO",Turkey,"$1,089.63","$1,083.75",1%,"1,421.67",77%
2018,65,NEC,"Takashi Niino, President and CEO (Representative Director)",Japan,"$1,062.00",$921.83,15%,~,~
2018,66,Korea Aerospace Industries,"Kim Jo-won, President and CEO",South Korea,$982.28,"$1,818.69",-46%,"1,829.80",54%
2018,67,Austal,"David Singleton, CEO",Australia,$969.12,$920.00,5%,986.30,98%
2018,68,Ultra Electronics,"Simon Pryce, CEO",U.K.,$951.97,$943.32,1%,"1,160.94",82%
2018,69,Embraer,"Paulo Cesar de Souza e Silva, CEO",Brazil,$951.00,$932.70,2%,"5,839.30",16%
2018,70,Cubic,"Bradley Feldmann, Chairman, President and CEO",U.S.,$907.27,$875.30,4%,"1,485.86",61%
2018,71,Meggitt 20,"Tony Wood, CEO*",U.K.,$910.97,$943.76,-3%,"2,602.78",35%
2018,72,Ukroboronprom 5 21,"Pavlo Bukin, Director General",Ukraine,$873.45,$852.52,2%,"1,063.82",82%
2018,73,Ruag,"Urs Breitmeier, CEO Ruag Group, Chairman of the Group Executive Board",Switzerland,$873.83,$816.19,7%,"1,985.98",44%
2018,74,Mitsubishi Electric 18,"Masaki Sakuyama, Chairman",Japan,$863.77,$682.63,27%,"41,803.76",2%
2018,75,Curtiss-Wright,"David Adams, Chairman and CEO",U.S.,$862.69,$787.27,10%,"2,271.03",38%
2018,76,Moog Inc.,"John Scannell, CEO",U.S.,$861.80,$848.39,2%,"2,497.52",35%
2018,77,QinetiQ Plc,"Steve Wadey, CEO",U.K.,$850.64,$912.22,-7%,"1,104.75",77%
2018,78,CAE,"Marc Parent, President and CEO",Canada,$836.73,$741.16,13%,"2,182.23",38%
2018,79,Engility,"Lynn Dugle, Chairman, President and CEO",U.S.,$776.32,$888.72,-13%,"1,931.89",40%
2018,80,ViaSat,"Mark Dankberg, Chairman of the Board and CEO",U.S.,$772.10,$685.10,13%,"1,594.60",48%
2018,81,Kongsberg 1 22,"Geir Håøy, President and CEO",Norway,$771.33,$894.29,-14%,"1,753.03",44%
2018,82,Indra,"Fernando Abril-Martorell, Chairman and CEO",Spain,$673.41,$671.22,0%,"3,402.10",20%
2018,83,Ball,"Robert Strain, President",U.S.,$665.17,$551.20,21%,990.56,67%
2018,84,Denel 23,"Monhla Hlahla, chairman*",South Africa,$621.23,$559.50,11%,621.23,8%
2018,85,Day & Zimmermann,"Hal Yoh, Chair and CEO",U.S.,$617.65,$521.40,18%,"2,530.00",24%
2018,86,IMI Systems,"Avi Felder, President and CEO",Israel,$611.38,$496.00,23%,611.38,100%
2018,87,AAR,"John Holmes, President and CEO",U.S.,$597.60,$652.30,-8%,"1,767.60",34%
2018,88,Chemring 7,"Michael Ord, Group Chief Executive",U.K.,$585.51,$543.04,8%,697.04,84%
2018,89,Toshiba Infrastructure Systems 18,"Shinichiro Akibam, President and CEO",Japan,$570.61,~,~,~,~
2018,90,Patria 22 24,"Olli Isotalo, President and CEO",Finland,$486.17,$530.60,-8%,528.45,92%
2018,91,Diehl Defence Holding 25,"Karl Tragl, President and CEO*",Germany,$515.23,$482.85,7%,"4,235.96",12%
2018,92,Battelle,"Lewis ""Lou"" Von Thaer, President and CEO",U.S.,$450.00,$470.00,-4%,"4,900.00",9%
2018,93,Hyundai Rotem Company,"Seung-tack Kim, CEO and President",South Korea,$446.87,$517.86,-14%,"2,406.76",19%
2018,94,Fujitsu Ltd.,"Tatsuya Tanaka, Representative Director President",Japan,$432.66,$440.47,-2%,"36,991.97",1%
2018,95,Nammo 5 26,"Morten Brandtzæg, President and CEO",Norway,$431.78,$393.40,10%,539.82,80%
2018,96,Roketsan,"Selcuk Yasar, President and CEO",Turkey,$376.08,$363.69,3%,376.08,100%
2018,97,STM Savunma Teknolojileri Muhendislik ve Ticaret A.S.,"Davut Yilmaz, General Manager",Turkey,$369.96,$342.60,8%,414.10,89%
2018,98,Telephonics Corporation,"Kevin McSweeney, President",U.S.,$366.91,$403.23,-9%,"1,985.91",18%
2018,99,Komatsu Ltd. 18,"Kunio Noji, Chairman",Japan,$252.56,$884.66,-71%,"22,574.99",1%
2018,100,Oki Electric Industry 18,"Hideichi Kawasaki, Director and Chairman",Japan,$194.71,~,~,~,~
2017,1,Lockheed Martin 1,"Marillyn Hewson, Chairman, President and CEO",U.S.,"$43,468.00","$40,596.00",7%,"$47,248.00",92%
2017,2,Boeing,"Dennis Muilenburg, President and CEO",U.S.,"$29,500.00","$30,388.00",-3%,"$94,571.00",31%
2017,3,BAE Systems 2,"Charles Woodburn, CEO",U.K.,"$23,621.84","$25,278.08",-7%,"$25,867.20",91%
2017,4,Raytheon Company 1,"Thomas Kennedy, Chairman and CEO",U.S.,"$22,384.17","$21,619.71",4%,"$24,069.00",93%
2017,5,Northrop Grumman 3,"Wes Bush, Chairman, President and CEO",U.S.,"$20,200.00","$17,600.00",15%,"$24,508.00",82%
2017,6,General Dynamics,"Phebe Novakovic, Chairman and CEO",U.S.,"$19,696.00","$19,148.00",3%,"$31,353.00",63%
2017,7,Airbus,"Fabrice Brégier, President and CEO",Netherlands/France,"$12,321.00","$12,776.10",-4%,"$73,903.80",17%
2017,8,L3 Technologies,"Michael Strianese, Chairman, President and CEO",U.S.,"$8,879.00","$8,772.00",1%,"$10,511.00",84%
2017,9,Leonardo 4,"Alessandro Profumo, CEO",Italy,"$8,526.22","$9,318.45",-9%,"$13,322.22",64%
2017,10,Thales,"Patrice Caine, Chairman and CEO",France,"$8,362.00","$7,863.24",6%,"$16,837.00",50%
2017,11,Almaz-Antey,"Yan Novikov, CEO",Russia,"$7,412.90","$6,965.77",6%,"$7,412.90",100%
2017,12,United Technologies,"Gregory Hayes, President, CEO and Director",U.S.,"$6,888.00","$6,780.00",2%,"$57,400.00",12%
2017,13,Huntington Ingalls Industries 1,"Mike Petters, President and CEO",U.S.,"$6,778.21","$6,879.60",-1%,"$7,068.00",96%
2017,14,United Aircraft Corp. 1,"Yury Slyusar, President and Chairman",Russia,"$5,636.84","$4,643.76",21%,"$7,046.05",80%
2017,15,Rolls-Royce,"Warren East, CEO",U.K.,"$4,741.15","$4,790.28",-1%,"$18,675.97",25%
2017,16,Textron Inc.,"Scott Donnelly, Chairman, President and CEO",U.S.,"$4,412.16","$4,161.13",6%,"$13,788.00",32%
2017,17,Honeywell 5,"Dave Cote, Executive Chairman",U.S.,"$4,375.00","$4,715.00",-7%,"$39,302.00",11%
2017,18,Leidos,"Roger Krone, Chairman and CEO",U.S.,"$4,252.00","$3,248.00",31%,"$7,043.00",60%
2017,19,Hanwha 6,"Seung Youn Kim, Chairman",South Korea,"$4,214.97","$3,104.00",36%,"$40,523.38",10%
2017,20,Harris Corporation 7,"Bill Brown, Chairman, President and CEO",U.S.,"$4,213.00","$4,400.00",-4%,"$5,950.00",71%
2017,21,Mitsubishi Heavy Industries Ltd. 8,"Shunichi Miyanaga, President and CEO",Japan,"$4,033.48","$2,395.12",68%,"$34,834.60",12%
2017,22,Booz Allen Hamilton 9,"Horacio Rozanski, President and CEO",U.S.,"$4,000.00","$3,900.00",3%,"$5,804.28",69%
2017,23,DCNS Group,"Hervé Guillou, Chairman and CEO",France,"$3,540.90","$3,288.55",8%,"$3,540.90",100%
2017,24,GE Aviation,"David Joyce, President and CEO",U.S.,"$3,500.00","$3,700.00",-5%,"$26,000.00",13%
2017,25,GKN Aerospace 110,"Kevin Cummings, CEO",U.K.,"$3,316.55","$2,604.65",27%,"$12,755.97",26%
2017,26,Rheinmetall,"Armin Papperger, CEO",Germany,"$3,270.06","$2,876.01",14%,"$5,753.13",57%
2017,27,Elbit Systems Ltd.,"Bezhalel Machlis, President and CEO",Israel,"$3,147.20","$3,108.00",1%,"$3,260.22",97%
2017,28,Bechtel 11,"Brendan Bechtel, CEO",U.S.,"$3,020.00","$3,230.00",-7%,"$32,300.00",9%
2017,29,Backbock International 1 12,"Archie Bethel, CEO",U.K.,"$2,963.71","$3,357.41",-12%,"$6,174.40",48%
2017,30,AECOM,"Michael Burke, Chairman and CEO",U.S.,"$2,939.80","$2,735.00",7%,"$17,410.80",17%
2017,31,Orbital ATK,"David Thompson, President and CEO",U.S.,"$2,871.00","$2,775.00",3%,"$4,450.00",65%
2017,32,"Tactical Missiles Corporation, JSC","Boris Obnosov, Director General",Russia,"$2,866.24","$2,387.78",20%,"$2,920.32",98%
2017,33,Israel Aerospace Industries,"Joseph Weiss, President & CEO",Israel,"$2,618.00","$2,776.00",-6%,"$3,577.00",73%
2017,34,SAIC,"Tony Moraco, CEO",U.S.,"$2,581.00","$2,838.00",-9%,"$4,450.00",58%
2017,35,Hindustan Aeronautics,"T. Suvarna Raju, Chairman and Managing Director",India,"$2,518.60","$2,410.97",4%,"$2,697.93",93%
2017,36,CACI International,"Ken Asbury, President and CEO",U.S.,"$2,439.33","$2,217.03",10%,"$3,744.05",65%
2017,37,Rafael Advanced Defense Systems,"Yoav Har-Even, President and CEO",Israel,"$2,354.56","$2,016.17",17%,"$2,354.56",100%
2017,38,Saab,"Håkan Buskhe, President and CEO",Sweden,"$2,307.62","$2,643.83",-13%,"$2,780.27",83%
2017,39,CSRA 13,"Lawrence Prior, President and CEO",U.S.,"$2,250.00","$1,684.85",34%,"$4,993.00",45%
2017,40,Rockwell Collins,"Kelly Ortberg, President and CEO",U.S.,"$2,210.00","$2,187.00",1%,"$5,250.00",42%
2017,41,"Korea Aerospace Industries, LTD.","Sung-Yong Ha, President and CEO",South Korea,"$1,818.69","$1,678.86",8%,"$2,666.58",68%
2017,42,Aerojet Rocketdyne,"Eileen Drake, CEO and President",U.S.,"$1,761.30","$1,708.30",3%,"$1,761.30",100%
2017,43,St Engineering 14,"Vincent Chong, President and CEO",Singapore,"$1,697.50","$1,659.32",2%,"$4,850.00",35%
2017,44,LIG Nex1,"Lee Hyo-koo, CEO",South Korea,"$1,618.10","$1,528.67",6%,"$1,618.10",100%
2017,45,Uralvagonzavod 15,"Alexander PotaPov, CEO",Russia,"$1,584.29","$1,014.39",56%,"$2,235.87",71%
2017,46,KBR 16,"Stuart B. Bradie, President and CEO",U.S.,"$1,532.64",$535.02,186%,"$4,268.00",36%
2017,47,Cobham 17,"David Lockwood, CEO",U.K.,"$1,490.50","$1,965.50",-24%,"$2,634.12",57%
2017,48,ManTech International,"George Pedersen, Chairman and CEO",U.S.,"$1,454.25","$1,406.00",3%,"$1,601.60",91%
2017,49,Safran 18,"Phillippe Petitcolin, CEO",France,"$1,374.18","$1,405.26",-2%,"$17,516.91",8%
2017,50,"Concern Rdaioelectronic Technologies, JSC","Nikolay Kolesov, CEO",Russia,"$1,365.52","$1,678.41",-19%,"$2,090.53",65%
2017,51,Dassault,"Serge Dassault, CEO",France,"$1,356.00","$1,887.00",-28%,"$3,208.07",42%
2017,52,Oshkosh Defense 19,"Wilson Jones, CEO",U.S.,"$1,351.10",$939.80,44%,"$6,279.20",22%
2017,53,Accenture,"Pierre Nanterme, Chairman and CEO",U.S.,"$1,315.00","$1,140.00",15%,"$32,900.00",4%
2017,54,Fincantieri,"Giuseppe Bono, CEO",Italy,"$1,306.51","$1,172.16",11%,"$5,004.56",26%
2017,55,Serco 1,"Rupert Soames, CEO",U.K.,"$1,305.14","$1,613.43",-19%,"$4,078.55",32%
2017,56,DynCorp International 20,"George Krivo, CEO",U.S.,"$1,277.64","$1,287.35",-1%,"$1,836.15",70%
2017,57,Aselsan,"Faik Eken, CEO",Turkey,"$1,195.28","$1,025.98",17%,"$1,243.47",96%
2017,58,Vectrus 21,"Chuck Prow, CEO",U.S.,"$1,190.52","$1,180.00",1%,"$1,190.52",100%
2017,59,Bharat Electronics Ltd,"S.K. Sharma, Chairman & Managing Director",India,"$1,164.90",$982.12,19%,"$1,323.75",88%
2017,60,PAE,"John Heller, CEO",U.S.,"$1,145.14",$939.50,22%,"$2,229.41",51%
2017,61,Turkish Aerospace Industries 22,"Temel Kotil, President & CEO",Turkey,"$1,083.75",$886.55,22%,"$1,260.19",86%
2017,62,Ukroboronprom,"Roman Romanov, General Director",Ukraine,"$1,075.45",$920.00,17%,"$1,075.45",100%
2017,63,Fluor,"David Thomas Seaton, Chairman and CEO",U.S.,$986.67,"$1,019.66",-3%,"$19,036.53",5%
2017,64,Nexter 23,"Stéphane Mayer, CEO",France,$978.58,"$1,187.70",-18%,$978.58,100%
2017,65,Meggitt 1,"Stephen Young, CEO",U.K.,$943.76,$877.07,8%,"$2,696.45",35%
2017,66,Embraer,"Paulo Cesar de Souza e Silva, CEO",Brazil,$932.70,$811.10,15%,"$6,217.50",15%
2017,67,Vencore,"Mac Curtis, President and CEO",U.S.,$886.59,$880.48,1%,"$1,168.07",76%
2017,68,Kawasaki Heavy Industries 824,"Shigeru Murayama, Chairman",Japan,$884.66,"$1,740.83",-49%,"$13,517.59",7%
2017,69,Komatsu Ltd. 8,"Kunio Noji, Chairman",Japan,$884.66,$308.49,187%,"$16,045.81",6%
2017,70,Cubic,"Bradley Feldmann, President & CEO",U.S.,$875.30,$864.20,1%,"$1,461.67",60%
2017,71,Kongsberg 25,"Geir Håøy, CEO",Norway,$870.00,$894.29,-3%,"$1,900.00",46%
2017,72,Engility,"Lynn Dugle, CEO",U.S.,$847.91,$888.72,-5%,"$2,076.42",41%
2017,73,Austal,"David Singleton, CEO",Australia,$842.97,$920.00,-8%,$996.94,85%
2017,74,Ruag,"Urs Breitmeier, CEO",Switzerland,$826.10,$816.19,1%,"$1,921.17",43%
2017,75,Ultra Electronics,"Rakesh Sharma, CEO",U.K.,$824.78,$943.32,-13%,"$1,005.82",82%
2017,76,Moog Inc.,"John Scannell, CEO",U.S.,$819.31,$848.39,-3%,"$2,411.94",34%
2017,77,NEC,"Nobuhiro Endo, Chairman",Japan,$805.45,$921.83,-13%,"$23,718.50",3%
2017,78,Curtis-Wright,"David Adams, Chairman and CEO",U.S.,$793.73,$787.27,1%,"$2,108.93",38%
2017,79,QinetiQ Plc,"Steve Wadey, CEO",U.K.,$783.68,$912.22,-14%,"$1,004.72",78%
2017,80,CAE,"Marc Parent, CEO",Canada,$782.86,$741.16,6%,"$2,041.90",38%
2017,81,Fujitsu Ltd.,"Masami Yamamoto, Chairman",Japan,$696.87,$440.47,58%,"$40,135.44",2%
2017,82,ViaSat,"Mark Dankberg, Chairman and CEO",U.S.,$685.10,$607.50,13%,"$1,559.00",44%
2017,83,Mitsubishi Electric 8,"Masaki Sakuyama, President and CEO",Japan,$682.63,$784.42,-13%,"$37,723.54",2%
2017,84,Indra,"Frenando Abril-Martorell, Chairman",Spain,$671.22,$601.62,12%,"$3,051.00",22%
2017,85,AAR,"David Storch, Chairman, President and CEO",U.S.,$652.30,$589.80,11%,"$1,662.60",39%
2017,86,RTI 26,"Maxim Kuzyuk, CEO",Russia,$565.90,$660.13,-14%,$753.55,75%
2017,87,Denel,"Daniel Mantsha, Chairman",South Africa,$559.50,$415.49,35%,$559.50,100%
2017,88,Ball,"Robert Strain, President",U.S.,$551.20,$577.30,-5%,$818.30,67%
2017,89,Chemring 1,"Michael Flowers, CEO",U.K.,$543.04,$478.13,14%,$646.47,84%
2017,90,Patria 27,"Olli Isotalo, President & CEO",Finland,$530.60,$431.42,23%,$559.00,95%
2017,91,Day & Zimmermann,"Hal Yoh, Chairman and CEO",U.S.,$521.40,$559.36,-7%,"$2,420.00",22%
2017,92,Israel Military Industries,"Avi Felder, President and CEO",Israel,$496.00,$511.00,-3%,$496.00,100%
2017,93,Nammo,"Morten Brandtzæg, President and CEO",Norway,$495.00,$363.12,36%,$495.00,100%
2017,94,Diehl Defence Holding,"Thomas Diehl, president & CEO",Germany,$482.85,$449.55,7%,"$3,785.10",13%
2017,95,Battelle 28,"Jeff Wadsworth, CEO",U.S.,$470.00,$476.00,-1%,"$4,800.00",10%
2017,96,Telephonics Corporation 29,"Kevin McSweeney, President",U.S.,$403.23,$397.68,1%,"$1,957.15",21%
2017,97,Japan Marine United Corporation 8,"Shinjiro Mishima, CEO",Japan,$365.79,NR,,N/A,N/A
2017,98,Roketsan,"Selcuk Yasar, CEO",Turkey,$363.69,NR,,$363.69,100%
2017,99,LGS Innovations,"Kevin Kelly, CEO",U.S.,$330.04,NR,,$343.00,96%
2017,100,IHI Corporation 8,"Tamotsu Saito, CEO",Japan,$315.95,$563.29,-78%,"$13,228.35",2%
2016,1,Lockheed Martin 1 2,"Marillyn Hewson, Chairman, President and CEO",US,"40,596.00","40,128.00",1.17%,"46,132.00",88.00%
2016,2,Boeing,"Dennis Muilenburg, President and CEO",US,"30,388.00","29,000.00",4.79%,"96,114.00",31.62%
2016,3,BAE Systems,"Ian Graham King, CEO",UK,"25,278.08","25,449.00",-0.67%,"27,357.31",92.40%
2016,4,Raytheon 1,"Thomas Kennedy, Chairman and CEO",US,"21,619.71","22,228.20",-2.74%,"23,247.00",93.00%
2016,5,General Dynamics,"Phebe Novakovic, Chairman and CEO",US,"19,148.00","18,561.00",3.16%,"31,469.00",60.85%
2016,6,Northrop Grumman,"Wes Bush, Chairman, President and CEO",US,"17,600.00","18,400.00",-4.35%,"23,526.00",74.81%
2016,7,Airbus,"Fabrice BrŽgier, President and CEO",Netherlands,"12,776.10","14,609.50",-12.55%,"71,539.50",17.86%
2016,8,Leonardo Spa 3,"Mauro Moretti, CEO and General Manager",Italy,"9,318.45","9,808.00",-4.99%,"14,424.45",64.60%
2016,9,L-3 Communications,"Michael Strianese, Chairman, President and CEO",US,"8,772.00","9,808.00",-10.56%,"10,466.00",83.81%
2016,10,Thales,"Patrice Caine, Chairman and CEO",France,"7,863.24","8,461.60",-7.07%,"15,609.93",50.37%
2016,11,Almaz-Antey,"Yan Novikov, CEO",Russia,"6,965.77","9,209.80",-24.37%,"6,965.77",100.00%
2016,12,Huntington Ingalls Industries,"Mike Petters, President and CEO",US,"6,879.60","6,818.00",0.90%,"7,020.00",98.00%
2016,13,United Technologies Corporation 2,"Gregory Hayes, President, CEO and Director",US,"6,780.00","13,020.00",-47.93%,"56,500.00",12.00%
2016,14,Rolls-Royce,"Warren East, CEO",UK,"4,790.28","5,433.70",-11.84%,"19,795.40",24.20%
2016,15,Honeywell,"David Cote, CEO",US,"4,715.00","4,754.00",-0.82%,"38,581.00",12.22%
2016,16,United Aircraft Corporation 4,"Yury Slyusar, President and Chairman",Russia,"4,643.76","6,244.00",-25.63%,"5,804.70",80.00%
2016,17,Harris 5,"Bill Brown, Chairman, President and CEO",US,"4,400.00","2,384.70",84.51%,"7,467.00",58.93%
2016,18,Textron,"Scott Donnelly, Chairman, President and CEO",US,"4,161.13","4,719.00",-11.82%,"13,423.00",31.00%
2016,19,GE Aviation,"David Joyce, President and CEO",US,"3,700.00","4,000.00",-7.50%,"24,660.00",15.00%
2016,20,Babcock International 1,"Peter Rogers, CEO",UK,"3,357.41","3,558.80",-5.66%,"7,298.72",46.00%
2016,21,Safran,"Phillippe Petitcolin, CEO",France,"3,334.44","4,081.30",-18.30%,"19,329.54",17.25%
2016,22,DCNS Group,"HervŽ Guillou, Chairman and CEO",US,"3,288.55","4,074.70",-19.29%,"3,363.30",97.78%
2016,23,Leidos,"Roger Krone, Chairman and CEO",US,"3,248.00","3,627.00",-10.45%,"5,086.00",63.86%
2016,24,Bechtel,"Bill Dudley, CEO",US,"3,230.00","3,000.00",7.67%,"37,200.00",8.68%
2016,25,Russian Helicopters 3,"Alexander Mikheev, CEO",Russia,"3,193.99","3,960.00",-19.34%,"3,629.54",88.00%
2016,26,Elbit Systems,"Bezhalel Machlis, President and CEO",Israel,"3,108.00","2,958.20",5.06%,"3,108.00",100.00%
2016,27,Rheinmetall,"Armin Papperger, CEO",Germany,"2,876.01","2,976.90",-3.39%,"5,753.00",49.99%
2016,28,SAIC,"Tony Moraco, CEO",US,"2,838.00","2,735.00",3.77%,"4,315.00",65.77%
2016,29,Israel Aerospace Industries,"Joseph Weiss, President & CEO",Israel,"2,776.00","2,785.00",-0.32%,"3,708.00",74.87%
2016,30,Orbital ATK,"David Thompson, President and CEO",US,"2,775.00","2,750.00",0.91%,"4,515.00",61.46%
2016,31,AECOM,"Michael Burke, Chairman and CEO",US,"2,735.00","4,433.00",-38.30%,"17,989.90",15.20%
2016,32,Saab,"HŒkan Buskhe, President and CEO",Sweden,"2,643.83","2,829.30",-6.56%,"3,224.26",82.00%
2016,33,Booz Allen Hamilton,"Horacio Rozanski, President and CEO",US,"2,600.00","4,100.00",-36.59%,"5,405.74",48.10%
2016,34,KNDS 6,"Frank Haun and StŽphane Mayer, CEOs",Germany,"2,442.00","1,096.20",122.77%,"2,442.00",100.00%
